premise,hypothesis
We use a number of interesting categories related to probability theory.,There exists a number of interesting categories related to probability theory.
We use a number of interesting categories related to probability theory.,There are no interesting categories related to probability theory.
We use a number of interesting categories related to probability theory.,There are no interesting categories related to topology.
A notion of central importance in categorical topology is that of topological functor.,Topological functor is a notion of categorical topology.
A notion of central importance in categorical topology is that of topological functor.,There are no notions of importance in categorical topology.
A notion of central importance in categorical topology is that of topological functor.,There are many notions of central importance in categorical topology.
"In the nilpotent case, this nerve is known to be a Kan complex.",There are nerves that are Kan complexes.
"In the nilpotent case, this nerve is known to be a Kan complex.","In the nilpotent case, this nerve is not known to be a Kan complex."
"In the nilpotent case, this nerve is known to be a Kan complex.",This nerve is not known to be a Kan complex.
We worked through numerous examples to demonstrate the power of these notions.,We worked through two examples to demonstrate the power of these notions.
We worked through numerous examples to demonstrate the power of these notions.,We did not work through numerous examples to demonstrate the power of these notions.
We worked through numerous examples to demonstrate the power of these notions.,We worked through more than 20 examples to demonstrate the power of these notions.
"If the category is additive, we define a sheaf of categories of analytic functions.","If the category is additive, we define a sheaf of categories of functions."
"If the category is additive, we define a sheaf of categories of analytic functions.","If the category is additive, we do not define a sheaf of categories of analytic functions."
"If the category is additive, we define a sheaf of categories of analytic functions.","If the category is non-additive, we define a sheaf of categories of analytic functions."
We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.,We can define analytic versions of Arakelov compactifications of affine arithmetic varieties.
We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.,These relations cannot be used to define analytic versions of Arakelov compactifications of affine arithmetic varieties.
We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.,We use these relations to define analytic versions of compactifications of non-varieties.
These functors are used in the paper only to prove corollary 8.3.,These functors are used in the paper to prove corollary 8.3.
These functors are used in the paper only to prove corollary 8.3.,These functors are not used in the paper  to prove corollary 8.3.
These functors are used in the paper only to prove corollary 8.3.,These natural transformations are used in the paper to prove corollary 8.5.
A proof of this corollary is given without details.,There exists a proof of this corollary.
A proof of this corollary is given without details.,There is no proof of this corollary without details.
A proof of this corollary is given without details.,A proof of this corollary is given without a computer program.
Here ``balanced'' can be omitted if the category is additive.,"For additive categories ``balanced"" can be omitted here."
Here ``balanced'' can be omitted if the category is additive.,Here ``balanced'' cannot be omitted if the category is additive.
Here ``balanced'' can be omitted if the category is additive.,Here ``balanced'' can be omitted if the category is multiplicative.
We introduce the notion of mutation pairs in pseudo-triangulated categories.,We introduce the notion of mutation pairs.
We introduce the notion of mutation pairs in pseudo-triangulated categories.,We cannot introduce the notion of mutation pairs in pseudo-triangulated categories.
We introduce the notion of mutation pairs in pseudo-triangulated categories.,We introduce the notation of mutation pairs in monoidal categories.
This result unifies many previous constructions of quotient triangulated categories.,This result unifies some previous constructions of quotient triangulated categories.
This result unifies many previous constructions of quotient triangulated categories.,This result is not related to any of the previous constructions of quotient triangulated categories.
This result unifies many previous constructions of quotient triangulated categories.,This result unifies all previous constructions of quotient triangulated categories.
We study extra assumptions on pretopologies that are needed for this theory.,We investigate additional assumptions on pretopologies that are needed for this theory.
We study extra assumptions on pretopologies that are needed for this theory.,"However, we will not be concerned with extra assumptions on pretopologies needed for this theory."
We study extra assumptions on pretopologies that are needed for this theory.,We do not study the basic assumptions on pretopologies that are needed for this theory.
We check these extra assumptions in several categories with pretopologies.,We check these extra assumptions in at least one category with a pretopology.
We check these extra assumptions in several categories with pretopologies.,We will not check these extra assumptions in categories with pretopologies.
We check these extra assumptions in several categories with pretopologies.,We check these extra assumptions in  categories with tensor products.
Functors between groupoids may be localised at equivalences in two ways.,Functors between groupoids can be localised at equivalences.
Functors between groupoids may be localised at equivalences in two ways.,"Unfortunately, it is not possible to localise functors between groupoids at equivalences."
Functors between groupoids may be localised at equivalences in two ways.,Localisation of functors between groupoids is used to prove Theorem 5.3.
We show that both approaches give equivalent bicategories.,Both approaches yield equivalent bicategories.
We show that both approaches give equivalent bicategories.,It was shown that these two approaches give bicategories with very different bicategorical properties.
We show that both approaches give equivalent bicategories.,Both approaches give the same bicategory.
"In this paper, we use the language of operads to study open dynamical systems.",We study dynamical systems in this paper.
"In this paper, we use the language of operads to study open dynamical systems.",We will not be concerned with the language of operads.
"In this paper, we use the language of operads to study open dynamical systems.",The study of open dynamical systems requires the language of operads.
The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.,Wiring diagrams are related to the syntactic architecture of such interconnections.
The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.,Such interconnections lack any syntactic structure.
The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.,The only way to encode the syntactic structure of such interconnections is by means of the visual language of wiring diagrams.
Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.,Operads can be characterised as categorical polynomial monads.
Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.,"Operads can be characterised as categorical polynomial monads; however, no canonical way of doing so exists."
Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.,There is exactly one way to characterise operads as categorical polynomial monads.
We have two useful gradings related by isomorphisms which change the degree.,There exist some gradings related by isomorphisms which change the degree.
We have two useful gradings related by isomorphisms which change the degree.,No two gradings which change the degree are isomorphic.
We have two useful gradings related by isomorphisms which change the degree.,There exist many pairs of gradings related by isomorphisms which change the degree.
The result is a double category C//G which describes the local symmetries of C.,The result is a category.
The result is a double category C//G which describes the local symmetries of C.,The result is a double category C//G which does not describe the local symmetries of C.
The result is a double category C//G which describes the local symmetries of C.,The result describes both local and non-local symmetries of C.
There are few known computable examples of non-abelian surface holonomy.,There are some known examples of non-abelian surface holonomy.
There are few known computable examples of non-abelian surface holonomy.,There are no known computable examples of non-abelian surface holonomy.
There are few known computable examples of non-abelian surface holonomy.,There are few known examples of non-abelian surface holonomy.
"Using these ideas, we also prove that magnetic monopoles form an abelian group.","Using these ideas, we also prove that magnetic monopoles form a group."
"Using these ideas, we also prove that magnetic monopoles form an abelian group.","Using these ideas, we disprove the conjecture that magnetic monopoles form a group."
"Using these ideas, we also prove that magnetic monopoles form an abelian group.","Using these ideas, we also prove that monopoles form an abelian group."
We introduce a 3-dimensional categorical structure which we call intercategory.,We introduce a 3-dimensional categorical structure.
We introduce a 3-dimensional categorical structure which we call intercategory.,We introduce a 2-dimensional categorical structure which we call intercategory.
We introduce a 3-dimensional categorical structure which we call intercategory.,An intercategory is a category with a 3-dimensional intercategorical structure.
We show that these fit together to produce a strict triple category of intercategories.,We show that these fit together to produce a category of intercategories.
We show that these fit together to produce a strict triple category of intercategories.,We doubt that these fit together to produce a strict triple category of intercategories.
We show that these fit together to produce a strict triple category of intercategories.,Three intercategories fit together to produce a strict triple.
This is the third paper in a series.,This paper is part of a series.
This is the third paper in a series.,This is the fourth paper in a series.
This is the third paper in a series.,This is the third paper on this topic.
The effect of any bundle of Lie groups is trivial.,Lie groups sometimes appear in bundles.
The effect of any bundle of Lie groups is trivial.,The effect of a bundle of Lie groups is non-trivial.
The effect of any bundle of Lie groups is trivial.,Groups always have effects.
All quotients of a given Lie groupoid determine the same effect.,All quotients of a given Lie groupoid determine some effect.
All quotients of a given Lie groupoid determine the same effect.,Quotients of a Lie groupoid determine different effects.
All quotients of a given Lie groupoid determine the same effect.,A Lie groupoid has either zero or one quotient.
Our analysis is relevant to the presentation theory of proper smooth stacks.,Proper smooth stacks may sometimes be presented.
Our analysis is relevant to the presentation theory of proper smooth stacks.,Our analysis does not have anything to say about the presentation theory of proper smooth stacks.
Our analysis is relevant to the presentation theory of proper smooth stacks.,Proper smooth stacks may always be presented.
This paper extends the Day Reflection Theorem to  monoidal categories.,This paper extends the Day Reflection Theorem to a family of categories.
This paper extends the Day Reflection Theorem to skew monoidal categories.,"The Day Reflection Theorem is beyond the scope of this paper, and we will not address it."
This paper extends the Day Reflection Theorem to skew monoidal categories.,This paper extends the Day Reflection Theorem to monoidal categories.
We also give a presentation for FinRelk.,We also exhibit a presentation for FinRelk.
We also give a presentation for FinRelk.,There is no presentation for FinRelk.
We also give a presentation for FinRelk.,This is the first time that anyone gives a presentation for FinRelk.
These modules and their modulations then give rise to a bicategory.,We can define a bicategory from these modules and their modulations.
These modules and their modulations then give rise to a bicategory.,It would be a mistake to think that these modules and their modulations give rise to a bicategory.
These modules and their modulations then give rise to a bicategory.,Every module and its modulations give rise to a bicategory.
We give an explicit construction of the category Opetope of opetopes.,We give a construction of the category Opetope of opetopes.
We give an explicit construction of the category Opetope of opetopes.,It is an open question to give an explicit construction of the category Opetope of opetopes.
We give an explicit construction of the category Opetope of opetopes.,The category of opetopes was previously constructed by someone named Opetope.
This result encompasses many known and new examples of quasitopoi.,This result encompasses new examples of quasitopoi.
This result encompasses many known and new examples of quasitopoi.,This result is far from the topic of quasitopoi.
This result encompasses many known and new examples of quasitopoi.,This result also implies new properties of quasitopoi.
We take some first steps in providing a synthetic theory of distributions.,We take some steps in providing a synthetic theory of distributions.
We take some first steps in providing a synthetic theory of distributions.,"First steps in providing a synthetic theory of distributions date back to the previous century, and we will not reiterate them."
We take some first steps in providing a synthetic theory of distributions.,We do not think it will be easy to take the next steps.
"We introduce various notions of partial topos, i.e. `topos without terminal object'.",A partial topos is a topos without a terminal object.
"We introduce various notions of partial topos, i.e. `topos without terminal object'.",There is only one notion of partial topos.
"We introduce various notions of partial topos, i.e. `topos without terminal object'.",We also introduce various notions of topos with a terminal object.
Examples for the weaker notions are local homeomorphisms and discrete fibrations.,"Local homeomorphisms are examples of the weaker notions, as are discrete fibrations."
Examples for the weaker notions are local homeomorphisms and discrete fibrations.,Discrete fibrations are not examples of the weaker notions.
Examples for the weaker notions are local homeomorphisms and discrete fibrations.,Local homeomorphisms and discrete fibrations are also examples of the stronger notions.
"In such a framework, the globular nerve always satisfies the Kan condition.",Sometimes the globular nerve satisfies the Kan condition.
